t_s,u,y
0.000000,0.000000,0.000000
0.500000,0.000000,0.016679
1.000000,0.000000,0.031034
1.500000,0.000000,0.056721
2.000000,0.000000,0.056336
2.500000,0.000000,0.040067
3.000000,0.000000,0.102734
3.500000,0.000000,0.092179
4.000000,0.000000,0.120608
4.500000,0.000000,0.097018
5.000000,1.000000,0.108285
5.500000,1.000000,0.107000
6.000000,1.000000,0.126866
6.500000,1.000000,0.134571
7.000000,1.000000,0.183865
7.500000,1.000000,0.216431
8.000000,1.000000,0.238721
8.500000,1.000000,0.255212
9.000000,1.000000,0.265779
9.500000,1.000000,0.294531
10.000000,1.000000,0.256286
10.500000,1.000000,0.268655
11.000000,1.000000,0.217556
11.500000,1.000000,0.257083
12.000000,1.000000,0.282471
12.500000,1.000000,0.262850
13.000000,1.000000,0.262677
13.500000,1.000000,0.272917
14.000000,1.000000,0.263322
14.500000,1.000000,0.291832
15.000000,1.000000,0.252812
15.500000,1.000000,0.208203
16.000000,1.000000,0.233943
16.500000,1.000000,0.240442
17.000000,1.000000,0.222991
17.500000,1.000000,0.256737
18.000000,1.000000,0.287767
18.500000,1.000000,0.304512
19.000000,1.000000,0.326369
19.500000,1.000000,0.347425
20.000000,1.000000,0.354746
20.500000,1.000000,0.346097
21.000000,1.000000,0.327349
21.500000,1.000000,0.268544
22.000000,1.000000,0.270010
22.500000,1.000000,0.239325
23.000000,1.000000,0.257072
23.500000,1.000000,0.232345
24.000000,1.000000,0.285142
24.500000,1.000000,0.283660
25.000000,1.000000,0.328863
25.500000,1.000000,0.309179
26.000000,1.000000,0.323114
26.500000,1.000000,0.317814
27.000000,1.000000,0.316249
27.500000,1.000000,0.297137
28.000000,1.000000,0.294964
28.500000,1.000000,0.262565
29.000000,1.000000,0.255454
29.500000,1.000000,0.248457
30.000000,1.000000,0.239088
30.500000,1.000000,0.228930
31.000000,1.000000,0.197354
31.500000,1.000000,0.223780
32.000000,1.000000,0.234886
32.500000,1.000000,0.208758
33.000000,1.000000,0.142039
33.500000,1.000000,0.170549
34.000000,1.000000,0.149941
34.500000,1.000000,0.182153
35.000000,1.000000,0.231822
35.500000,1.000000,0.192558
36.000000,1.000000,0.222163
36.500000,1.000000,0.204049
37.000000,1.000000,0.209924
37.500000,1.000000,0.212301
38.000000,1.000000,0.226889
38.500000,1.000000,0.194378
39.000000,1.000000,0.215603
39.500000,1.000000,0.195864
40.000000,1.000000,0.194627
40.500000,1.000000,0.182702
41.000000,1.000000,0.164903
41.500000,1.000000,0.167463
42.000000,1.000000,0.210685
42.500000,1.000000,0.193757
43.000000,1.000000,0.138879
43.500000,1.000000,0.186843
44.000000,1.000000,0.238627
44.500000,1.000000,0.268026
45.000000,1.000000,0.282777
45.500000,1.000000,0.267701
46.000000,1.000000,0.272538
46.500000,1.000000,0.282590
47.000000,1.000000,0.286923
47.500000,1.000000,0.282726
48.000000,1.000000,0.247813
48.500000,1.000000,0.207165
49.000000,1.000000,0.273660
49.500000,1.000000,0.278863
50.000000,1.000000,0.281326
50.500000,1.000000,0.321558
51.000000,1.000000,0.331787
51.500000,1.000000,0.271837
52.000000,1.000000,0.251137
52.500000,1.000000,0.238681
53.000000,1.000000,0.233668
53.500000,1.000000,0.218377
54.000000,1.000000,0.191937
54.500000,1.000000,0.140484
55.000000,1.000000,0.104987
55.500000,1.000000,0.139298
56.000000,1.000000,0.178968
56.500000,1.000000,0.196166
57.000000,1.000000,0.246404
57.500000,1.000000,0.257965
58.000000,1.000000,0.297885
58.500000,1.000000,0.343912
59.000000,1.000000,0.353569
59.500000,1.000000,0.380559
60.000000,1.000000,0.404452
60.500000,1.000000,0.407678
61.000000,1.000000,0.422440
61.500000,1.000000,0.494779
62.000000,1.000000,0.510936
62.500000,1.000000,0.541852
63.000000,1.000000,0.496276
63.500000,1.000000,0.444993
64.000000,1.000000,0.455187
64.500000,1.000000,0.450210
65.000000,1.000000,0.480265
65.500000,1.000000,0.481968
66.000000,1.000000,0.472050
66.500000,1.000000,0.438476
67.000000,1.000000,0.426369
67.500000,1.000000,0.417957
68.000000,1.000000,0.463139
68.500000,1.000000,0.490544
69.000000,1.000000,0.456168
69.500000,1.000000,0.425111
70.000000,1.000000,0.421404
70.500000,1.000000,0.384676
71.000000,1.000000,0.357357
71.500000,1.000000,0.337153
72.000000,1.000000,0.301229
72.500000,1.000000,0.317286
73.000000,1.000000,0.335681
73.500000,1.000000,0.308361
74.000000,1.000000,0.338747
74.500000,1.000000,0.335747
75.000000,1.000000,0.272371
75.500000,1.000000,0.244793
76.000000,1.000000,0.229764
76.500000,1.000000,0.255285
77.000000,1.000000,0.257126
77.500000,1.000000,0.299877
78.000000,1.000000,0.259583
78.500000,1.000000,0.275834
79.000000,1.000000,0.229947
79.500000,1.000000,0.244500
80.000000,1.000000,0.261666
